company,vertical,city,state,website,linkedin,founder_or_partner,estimated_team_size,signs_of_relationship_sales,likely_crm_usage,visible_followup_gap,recent_signal,outreach_priority,personalization_angle,sample_brief_status,notes
ELKALYNE,IT marketing and product recruiting,Denver,CO,https://www.elkalyne.com,https://www.linkedin.com/company/elkalyne,Lisa Gonzales,4-8,Founder-led boutique with contract and direct-placement services across recurring tech and marketing roles,Likely ATS plus LinkedIn Recruiter and spreadsheet notes,Public site speaks to talent solutions across multiple role types; follow-up likely spans clients candidates and past searches,Recent public website refresh and continued positioning around boutique talent support,High,Reference woman-owned Denver boutique and SAP-to-broader-market evolution,Public scan complete,Use only public positioning and a hypothetical dormant tech hiring manager account
Huffman Associates Executive Search,Mortgage financial services and fintech recruiting,Charleston,SC,https://huffmanassociates.com,https://www.linkedin.com/company/huffman-associates-llc,Michael Huffman,8-12,Long-running search practice built around lenders fintech firms and repeat executive relationships,Likely mature ATS plus LinkedIn Recruiter and contact history in email,Specialized market and 20-plus-year history suggest many past lender contacts worth resurfacing,Public team pages emphasize mortgage and financial-services search specialization,High,Lead with stale lender and fintech relationship recovery after rate-cycle changes,Not started,Do not mention access to lender pipelines; sample should be clearly labeled hypothetical
Brick Executive Search,Fashion luxury and consumer products executive search,Chicago,IL,https://brickexecutivesearch.com,https://www.linkedin.com/company/brick-executive-search,Hope Brick,3-8,Boutique executive search with founder network in fashion retail luxury and CPG,Likely ATS plus LinkedIn Recruiter and founder-maintained relationship notes,Executive search model depends on timing with prior candidates clients and dormant consumer-brand contacts,Public site emphasizes strategic talent partnership and manager-to-C-suite placements,High,Use fashion and consumer-brand leadership timing as the opener,Angle drafted,Anchor sample on public specialization; no claims about private client lists
Red Kite Recruiting,Food manufacturing recruiting,Remote,US,https://www.redkiterecruiting.com,https://www.linkedin.com/company/red-kite-recruiting,Deanna O'Connell,7-12,Woman and veteran-owned niche recruiter serving food manufacturers across sales operations QA and R&D,Likely ATS plus LinkedIn Recruiter and long-running candidate database,Multiple functional areas and national food-manufacturing niche imply dormant candidate and client relationships,Public site and team profile emphasize national food-industry recruiting since 2008,High,Reference veteran-owned food manufacturing specialization and dormant plant-ops relationships,Public scan complete,Sample brief can use hypothetical paused QA director search based on public category only
JL Klein Executive Search,Legal compliance and alternative assets search,Miami,FL,https://jl-klein.com,https://www.linkedin.com/company/jl-klein,Daniel Klein and Jason Latin,3-6,Partner-led search for legal compliance finance and operations roles in alternative asset management,Likely ATS plus founder-maintained investor and law-firm network notes,Partner-led model means timing and past warm legal contacts are central to follow-up quality,Public site highlights founders personally leading searches and alternative-asset specialization,High,Lead with dormant general counsel or compliance leader relationships in funds,Public scan complete,Keep language about funds public and hypothetical
Silicon Beach Talent,Frontier technology executive search,Santa Monica,CA,https://siliconbeachtalent.com,https://www.linkedin.com/company/silicon-beach-talent,Marissa Peretz,3-8,Founder-led retained search for engineering product and operations leaders in disruptive technology,Likely executive-search CRM plus LinkedIn Recruiter and investor-network notes,Deep-tech leadership searches create long candidate arcs that can go cold between funding events,Public site emphasizes Tesla recruiting background and frontier-tech leadership placements,High,Reference hardware autonomy and aerospace hiring cycles with funding-triggered reactivation,Needs founder review,Sample should say hypothetical portfolio hiring signal rather than real funding intelligence
Next Frontier Search,Deep tech defense and space executive search,Venice,CA,https://www.nextfrontiersearch.com,https://www.linkedin.com/company/nextfrontiersearch,Andrew Goldberg and Tyler Skoro,4-8,Retained search for venture-backed space defense autonomy robotics clean tech and cybersecurity companies,Likely executive-search CRM plus LinkedIn Recruiter and investor-network tracking,Specialized startup searches involve paused searches candidates and portfolio-company timing changes,Public site highlights deep-tech focus and advisory orientation,High,Use deep-tech leadership search timing and dormant VP Engineering candidates,Not started,No inference about portfolio company hiring unless public
Plenty Search,Startup executive search,San Francisco,CA,https://plentysearch.com,https://www.linkedin.com/company/plenty-search,Thach Nguyen,6-12,Startup-focused executive search with founder and VC relationships across early-stage companies,Likely ATS plus LinkedIn Recruiter and structured founder notes,High-touch startup searches can leave promising founders or candidates dormant after a role closes,Public site emphasizes founder choice quality and limited active searches,High,Lead with small-batch search quality and neglected founder follow-up after closed roles,Angle drafted,Keep sample brief as founder workflow aid not performance claim
Pathway Talent,Finance and accounting recruiting,Tacoma,WA,https://www.pathwaytalent.is,https://www.linkedin.com/company/pathway-talent,Lauren Treleven,2-6,Boutique high-touch recruiting for finance accounting and strategic hiring support,Likely light ATS plus LinkedIn Recruiter and spreadsheet-based client follow-up,Founder-led model and advisory sessions make manual relationship tracking important,Public site emphasizes relationship-first right-hire searches and hiring strategy sessions,High,Reference finance-accounting hiring timing and founder-led high-touch process,Not started,Use hypothetical dormant controller-search client based only on public positioning
H2 Recruits,Professional recruiting and talent management,Birmingham,AL,https://h2recruits.com,https://www.linkedin.com/company/h2-recruits,Heather Healy,4-10,Boutique recruiting for PE-backed and growth companies across IT engineering sales finance and leadership,Likely ATS plus LinkedIn Recruiter and email-driven founder follow-up,Broad senior roles across growth companies create many warm relationships that may need reactivation,Public site positions firm around quality searches and boutique recruiting experience,High,Lead with growth-company talent follow-up and PE-backed relationship timing,Public scan complete,Sample should not imply knowledge of PE portfolio accounts
Alpert Recruiting,Marketing communications sales and HR recruiting,Denver,CO,https://www.alpertrecruiting.com,https://www.linkedin.com/company/alpert-recruiting,Megan Alpert,2-6,Boutique recruiting agency placing marketing communications sales and HR professionals nationally,Likely light ATS plus LinkedIn Recruiter and founder-managed prospect notes,Founder-led service and multiple role families suggest warm hiring-manager relationships can sit idle,Public site emphasizes employer services candidate care and testimonials,Medium,Reference Denver marketing-sales recruiting and Accenture recruiting background,Not started,Good fit for a lighter sample brief focused on hiring-manager reactivation
Z3Talent,Retained executive search for entrepreneurial companies,Denver,CO,https://www.z3talent.com,https://www.linkedin.com/company/z3talent,Steven Ziegler,8-15,Retained executive search with long Denver-Boulder relationships and entrepreneurial-company focus,Likely executive-search CRM and structured relationship records,Long-tenure retained search practice likely has dormant executives clients and advisor relationships,Public site emphasizes retained search for entrepreneurs PE-backed family-owned and nonprofit organizations,Medium,Use Denver-Boulder leadership network and founder-led trust as the opening angle,Needs founder review,May be more mature than ideal; keep outreach respectful and exploratory
MatchStar Venture Search,Venture-backed technology executive search,San Francisco,CA,https://www.matchstar.com,https://www.linkedin.com/company/matchstar-search,Carolyne Connor,5-12,Boutique venture-search firm built on founder investor and executive networks,Likely executive-search CRM plus large LinkedIn and investor relationship database,Large public network and pre-IPO focus create many timing-sensitive dormant executive conversations,Public site emphasizes fast-growing venture-backed tech management teams,Medium,Reference venture-search timing and reactivating prior candidate relationships after funding milestones,Not started,Avoid claiming knowledge of specific investors or live searches
Dynamic Search Consulting,SaaS and IT services sales leadership search,San Jose,CA,https://dynamicsearchconsulting.com,https://www.linkedin.com/company/dynamic-search-consulting,David Kant,5-12,Boutique executive search for VP and C-level sales leaders in SaaS and IT services,Likely executive-search CRM plus LinkedIn Recruiter and founder relationship notes,Sales-leadership searches often produce close runners-up and past clients worth revisiting,Public site emphasizes repeat clients search cycle quality and replacement guarantees,Medium,Lead with dormant sales-leader runner-up and prior SaaS client reactivation,Public scan complete,Sample should not repeat public performance metrics as Meridian proof
RonanVance,Life sciences clinical and scientific search,Boston,MA,https://www.ronanvancesearch.com,https://www.linkedin.com/company/ronanvance,Chris Tamburrini,2-5,Science-driven life-sciences search for biotech and pharma senior talent,Likely niche ATS plus LinkedIn Recruiter and founder-maintained biotech network,Specialized biotech roles often pause and reopen after milestones creating follow-up gaps,Public site focuses on clinical scientific and drug-development leadership search,High,Use biotech milestone timing and dormant clinical-operations relationships,Angle drafted,Anchor on public therapeutic-area language only
Conduit Search Group,Construction real estate and accounting search,Fort Washington,PA,https://www.conduitsearchgroup.com,https://www.linkedin.com/company/conduit-search-group,Marc Murphy,6-15,Boutique search firm specializing in construction real estate and accounting relationships,Likely ATS plus LinkedIn Recruiter and recruiter-managed client notes,Construction hiring cycles and past candidate relationships create obvious manual follow-up needs,Public site and founder profile emphasize construction specialization and long recruiting experience,High,Lead with dormant project executive and estimator relationships after delayed projects,Public scan complete,Do not imply knowledge of project backlog or client bids
